id_venta,fecha,año,mes,trimestre,producto,categoria,ciudad,pais,canal,cantidad,precio_unitario,descuento_pct,venta_total,costo_total,margen_bruto_pct,satisfaccion,devolucion,cliente_nuevo
VT00014,2024-09-27,2024,Sep,Q3,Auriculares BT,Audio,Buenos Aires,Argentina,Tienda Física,20,195000,0.22,3900000,3000000,23.1,4.3,0,1
VT00015,2025-01-12,2025,Ene,Q1,Teclado Mecánico,Accesorios,Buenos Aires,Argentina,Marketplace,8,281600,0.12,2252800,1536000,31.8,4.8,0,0
VT00016,2024-02-25,2024,Feb,Q1,Laptop Pro,Computadores,Barranquilla,Colombia,Marketplace,5,2296000,0.18,11480000,8400000,26.8,4.1,0,0
VT00017,2025-09-25,2025,Sep,Q3,Impresora Láser,Impresión,Cali,Colombia,Distribuidores,35,744800,0.24,26068000,20580000,21.1,4.5,0,0
VT00018,2025-09-03,2025,Sep,Q3,SSD 1TB,Almacenamiento,Monterrey,México,B2B,15,436500,0.03,6547500,4050000,38.1,3.7,0,1
VT00019,2024-12-28,2024,Dic,Q4,"Monitor 24""",Monitores,Bogotá,Colombia,Online,3,836600,0.06,2509800,1602000,36.2,3.7,0,1
VT00020,2025-03-26,2025,Mar,Q1,Cámara HD,Fotografía,Barranquilla,Colombia,Marketplace,31,1410000,0.06,43710000,27900000,36.2,3.8,0,0
VT00021,2024-08-04,2024,Ago,Q3,"Tablet 10""",Tablets,Lima,Perú,B2B,42,996000,0.17,41832000,30240000,27.7,3.1,0,0
VT00022,2025-04-09,2025,Abr,Q2,Mouse Inalámbrico,Accesorios,Barranquilla,Colombia,Tienda Física,12,81600,0.04,979200,612000,37.5,3.9,0,1
VT00023,2024-11-28,2024,Nov,Q4,Impresora Láser,Impresión,Medellín,Colombia,Online,49,744800,0.24,36495200,28812000,21.1,3.5,0,0
VT00024,2024-07-26,2024,Jul,Q3,Smartphone X,Smartphones,Bogotá,Colombia,Tienda Física,17,1575000,0.25,26775000,21420000,20.0,4.6,0,0
VT00025,2024-03-19,2024,Mar,Q1,RAM 16GB,Componentes,Buenos Aires,Argentina,B2B,4,353400,0.07,1413600,912000,35.5,4.5,0,0
VT00026,2024-09-03,2024,Sep,Q3,Laptop Pro,Computadores,Montevideo,Uruguay,B2B,33,2772000,0.01,91476000,55440000,39.4,4.7,0,1
VT00027,2024-10-20,2024,Oct,Q4,"Monitor 24""",Monitores,Lima,Perú,Online,3,765400,0.14,2296200,1602000,30.2,3.2,0,0
VT00028,2025-11-05,2025,Nov,Q4,"Tablet 10""",Tablets,México DF,México,Tienda Física,26,1128000,0.06,29328000,18720000,36.2,4.3,0,0
VT00029,2024-10-17,2024,Oct,Q4,Mouse Inalámbrico,Accesorios,Bogotá,Colombia,B2B,14,83300,0.02,1166200,714000,38.8,3.5,0,0
VT00030,2025-03-10,2025,Mar,Q1,"Monitor 24""",Monitores,Monterrey,México,Distribuidores,46,703100,0.21,32342600,24564000,24.1,4.2,0,0
VT00031,2024-11-09,2024,Nov,Q4,Laptop Pro,Computadores,Buenos Aires,Argentina,Distribuidores,9,2156000,0.23,19404000,15120000,22.1,3.2,0,0
VT00032,2025-04-28,2025,Abr,Q2,Auriculares BT,Audio,México DF,México,Marketplace,41,237500,0.05,9737500,6150000,36.8,3.5,0,0
VT00033,2024-05-05,2024,May,Q2,Laptop Pro,Computadores,Medellín,Colombia,B2B,50,2800000,0.0,140000000,84000000,40.0,4.3,0,0
VT00034,2024-01-05,2024,Ene,Q1,Impresora Láser,Impresión,Lima,Perú,Marketplace,45,960400,0.02,43218000,26460000,38.8,4.1,0,0
VT00035,2025-01-12,2025,Ene,Q1,Teclado Mecánico,Accesorios,Lima,Perú,Tienda Física,3,291200,0.09,873600,576000,34.1,3.4,0,1
VT00036,2024-12-28,2024,Dic,Q4,Impresora Láser,Impresión,Lima,Perú,Marketplace,16,754600,0.23,12073600,9408000,22.1,3.3,0,1
VT00037,2025-12-26,2025,Dic,Q4,Smartphone X,Smartphones,Bogotá,Colombia,Tienda Física,27,1680000,0.2,45360000,34020000,25.0,4.3,0,1
VT00038,2025-01-12,2025,Ene,Q1,Teclado Mecánico,Accesorios,Medellín,Colombia,B2B,30,300800,0.06,9024000,5760000,36.2,3.6,0,1
VT00039,2025-06-09,2025,Jun,Q2,Laptop Pro,Computadores,Barranquilla,Colombia,B2B,50,2184000,0.22,109200000,84000000,23.1,3.7,0,0
VT00040,2025-02-02,2025,Feb,Q1,Impresora Láser,Impresión,Monterrey,México,Online,17,940800,0.04,15993600,9996000,37.5,3.2,0,0
VT00041,2024-09-07,2024,Sep,Q3,"Tablet 10""",Tablets,Lima,Perú,Marketplace,37,1080000,0.1,39960000,26640000,33.3,3.5,0,1
VT00042,2024-07-20,2024,Jul,Q3,Impresora Láser,Impresión,Barranquilla,Colombia,Distribuidores,22,744800,0.24,16385600,12936000,21.1,3.6,0,0
VT00043,2025-11-10,2025,Nov,Q4,Auriculares BT,Audio,Buenos Aires,Argentina,Distribuidores,45,230000,0.08,10350000,6750000,34.8,4.1,0,0
VT00044,2025-10-10,2025,Oct,Q4,Smartphone X,Smartphones,Cali,Colombia,Marketplace,1,1890000,0.1,1890000,1260000,33.3,3.6,0,0
VT00045,2025-08-16,2025,Ago,Q3,SSD 1TB,Almacenamiento,Monterrey,México,B2B,33,373500,0.17,12325500,8910000,27.7,4.6,0,0
VT00046,2025-09-08,2025,Sep,Q3,SSD 1TB,Almacenamiento,Medellín,Colombia,Distribuidores,49,441000,0.02,21609000,13230000,38.8,4.3,0,1
VT00047,2024-08-19,2024,Ago,Q3,Laptop Pro,Computadores,Bogotá,Colombia,Tienda Física,41,2492000,0.11,102172000,68880000,32.6,3.4,0,0
VT00048,2025-02-17,2025,Feb,Q1,"Monitor 24""",Monitores,Cali,Colombia,Online,45,845500,0.05,38047500,24030000,36.8,3.9,0,0
VT00049,2025-08-20,2025,Ago,Q3,Mouse Inalámbrico,Accesorios,Arequipa,Perú,Tienda Física,29,64600,0.24,1873400,1479000,21.1,4.6,0,0
VT00050,2025-12-08,2025,Dic,Q4,Impresora Láser,Impresión,Arequipa,Perú,Tienda Física,49,872200,0.11,42737800,28812000,32.6,4.7,0,0
VT00051,2024-08-09,2024,Ago,Q3,Cámara HD,Fotografía,Barranquilla,Colombia,Distribuidores,16,1230000,0.18,19680000,14400000,26.8,3.7,0,1
VT00052,2024-12-14,2024,Dic,Q4,Teclado Mecánico,Accesorios,Barranquilla,Colombia,B2B,5,262400,0.18,1312000,960000,26.8,3.8,0,0
VT00053,2024-10-19,2024,Oct,Q4,"Monitor 24""",Monitores,Lima,Perú,B2B,49,703100,0.21,34451900,26166000,24.1,3.8,1,0
VT00054,2024-12-14,2024,Dic,Q4,Smartphone X,Smartphones,Lima,Perú,Marketplace,18,1848000,0.12,33264000,22680000,31.8,4.0,0,0
VT00055,2024-03-19,2024,Mar,Q1,Smartphone X,Smartphones,Cali,Colombia,B2B,38,1617000,0.23,61446000,47880000,22.1,4.3,0,0
VT00056,2025-05-11,2025,May,Q2,Cámara HD,Fotografía,Cali,Colombia,Online,30,1380000,0.08,41400000,27000000,34.8,3.7,0,1
VT00057,2024-08-12,2024,Ago,Q3,Smartphone X,Smartphones,México DF,México,Online,4,1701000,0.19,6804000,5040000,25.9,3.4,0,0
VT00058,2024-04-05,2024,Abr,Q2,Laptop Pro,Computadores,Bogotá,Colombia,Tienda Física,16,2352000,0.16,37632000,26880000,28.6,3.9,0,0
VT00059,2024-03-10,2024,Mar,Q1,Cámara HD,Fotografía,México DF,México,Distribuidores,11,1215000,0.19,13365000,9900000,25.9,3.2,1,0
VT00060,2024-12-27,2024,Dic,Q4,SSD 1TB,Almacenamiento,Lima,Perú,B2B,45,441000,0.02,19845000,12150000,38.8,4.3,0,0
VT00061,2024-10-22,2024,Oct,Q4,SSD 1TB,Almacenamiento,Montevideo,Uruguay,Online,28,409500,0.09,11466000,7560000,34.1,3.7,0,0
VT00062,2025-07-23,2025,Jul,Q3,Smartphone X,Smartphones,Arequipa,Perú,Online,30,1764000,0.16,52920000,37800000,28.6,3.3,0,0
VT00063,2025-09-19,2025,Sep,Q3,SSD 1TB,Almacenamiento,México DF,México,Marketplace,47,396000,0.12,18612000,12690000,31.8,3.5,0,0
VT00064,2025-04-13,2025,Abr,Q2,Mouse Inalámbrico,Accesorios,México DF,México,B2B,43,73100,0.14,3143300,2193000,30.2,3.7,0,0
VT00065,2025-05-23,2025,May,Q2,Cámara HD,Fotografía,Barranquilla,Colombia,Distribuidores,39,1395000,0.07,54405000,35100000,35.5,4.8,0,0
VT00066,2025-12-08,2025,Dic,Q4,"Monitor 24""",Monitores,Medellín,Colombia,Tienda Física,49,783200,0.12,38376800,26166000,31.8,4.4,0,0
VT00067,2025-04-22,2025,Abr,Q2,Laptop Pro,Computadores,Medellín,Colombia,Distribuidores,20,2324000,0.17,46480000,33600000,27.7,4.2,0,0
VT00068,2025-06-08,2025,Jun,Q2,Smartphone X,Smartphones,Buenos Aires,Argentina,Distribuidores,17,1953000,0.07,33201000,21420000,35.5,3.2,0,1
VT00069,2025-04-25,2025,Abr,Q2,Impresora Láser,Impresión,Cali,Colombia,Tienda Física,38,911400,0.07,34633200,22344000,35.5,4.0,0,1
VT00070,2024-06-18,2024,Jun,Q2,"Monitor 24""",Monitores,México DF,México,Tienda Física,46,818800,0.08,37664800,24564000,34.8,3.3,1,1
VT00071,2024-02-16,2024,Feb,Q1,Auriculares BT,Audio,Cali,Colombia,B2B,31,215000,0.14,6665000,4650000,30.2,3.9,0,1
VT00072,2025-07-22,2025,Jul,Q3,Cámara HD,Fotografía,Medellín,Colombia,Online,41,1470000,0.02,60270000,36900000,38.8,3.1,0,0
VT00073,2025-02-08,2025,Feb,Q1,Auriculares BT,Audio,Medellín,Colombia,Tienda Física,40,212500,0.15,8500000,6000000,29.4,4.6,0,0
VT00074,2024-05-04,2024,May,Q2,Auriculares BT,Audio,Montevideo,Uruguay,B2B,48,212500,0.15,10200000,7200000,29.4,4.9,0,1
VT00075,2024-04-01,2024,Abr,Q2,SSD 1TB,Almacenamiento,Medellín,Colombia,Tienda Física,11,387000,0.14,4257000,2970000,30.2,3.8,0,0
VT00076,2025-12-03,2025,Dic,Q4,Laptop Pro,Computadores,Barranquilla,Colombia,Distribuidores,30,2296000,0.18,68880000,50400000,26.8,4.4,0,0
VT00077,2024-07-05,2024,Jul,Q3,SSD 1TB,Almacenamiento,Montevideo,Uruguay,Tienda Física,42,387000,0.14,16254000,11340000,30.2,4.8,0,1
VT00078,2025-12-23,2025,Dic,Q4,Teclado Mecánico,Accesorios,México DF,México,Marketplace,30,284800,0.11,8544000,5760000,32.6,3.6,0,1
VT00079,2024-02-11,2024,Feb,Q1,Impresora Láser,Impresión,Arequipa,Perú,B2B,48,764400,0.22,36691200,28224000,23.1,4.2,1,1
VT00080,2025-01-25,2025,Ene,Q1,SSD 1TB,Almacenamiento,Montevideo,Uruguay,Marketplace,49,387000,0.14,18963000,13230000,30.2,3.4,0,0
VT00081,2025-07-12,2025,Jul,Q3,Auriculares BT,Audio,Cali,Colombia,Marketplace,31,190000,0.24,5890000,4650000,21.1,3.8,0,1
VT00082,2025-12-27,2025,Dic,Q4,Teclado Mecánico,Accesorios,Monterrey,México,B2B,26,297600,0.07,7737600,4992000,35.5,4.5,1,1
VT00083,2024-07-15,2024,Jul,Q3,Auriculares BT,Audio,Monterrey,México,Online,35,210000,0.16,7350000,5250000,28.6,3.8,0,0
VT00084,2025-04-15,2025,Abr,Q2,Cámara HD,Fotografía,Arequipa,Perú,Online,19,1290000,0.14,24510000,17100000,30.2,4.8,0,1
VT00085,2024-12-18,2024,Dic,Q4,SSD 1TB,Almacenamiento,Montevideo,Uruguay,Tienda Física,1,414000,0.08,414000,270000,34.8,3.8,0,0
VT00086,2024-11-10,2024,Nov,Q4,Mouse Inalámbrico,Accesorios,Arequipa,Perú,Online,46,74800,0.12,3440800,2346000,31.8,4.0,0,0
VT00087,2024-09-17,2024,Sep,Q3,Cámara HD,Fotografía,Barranquilla,Colombia,B2B,39,1350000,0.1,52650000,35100000,33.3,4.5,0,1
VT00088,2024-05-27,2024,May,Q2,Smartphone X,Smartphones,Monterrey,México,Marketplace,20,1953000,0.07,39060000,25200000,35.5,4.2,0,0
VT00089,2025-08-18,2025,Ago,Q3,Teclado Mecánico,Accesorios,Arequipa,Perú,Marketplace,49,294400,0.08,14425600,9408000,34.8,3.8,0,0
VT00090,2024-07-02,2024,Jul,Q3,RAM 16GB,Componentes,Barranquilla,Colombia,Marketplace,27,300200,0.21,8105400,6156000,24.1,3.6,0,0
VT00091,2024-08-11,2024,Ago,Q3,Smartphone X,Smartphones,Lima,Perú,Tienda Física,38,2037000,0.03,77406000,47880000,38.1,4.7,0,0
VT00092,2024-12-05,2024,Dic,Q4,Impresora Láser,Impresión,Arequipa,Perú,Online,42,882000,0.1,37044000,24696000,33.3,3.1,0,1
VT00093,2025-06-23,2025,Jun,Q2,USB-C Hub,Accesorios,Lima,Perú,Online,41,91200,0.24,3739200,2952000,21.1,4.8,0,0
VT00094,2025-11-03,2025,Nov,Q4,USB-C Hub,Accesorios,Medellín,Colombia,Tienda Física,48,90000,0.25,4320000,3456000,20.0,3.9,0,0
VT00095,2025-12-11,2025,Dic,Q4,Mouse Inalámbrico,Accesorios,Arequipa,Perú,Tienda Física,3,65450,0.23,196350,153000,22.1,4.6,0,0
VT00096,2024-07-20,2024,Jul,Q3,Teclado Mecánico,Accesorios,Barranquilla,Colombia,Marketplace,6,307200,0.04,1843200,1152000,37.5,4.7,0,1
VT00097,2025-08-01,2025,Ago,Q3,USB-C Hub,Accesorios,Cali,Colombia,Tienda Física,43,106800,0.11,4592400,3096000,32.6,4.8,0,1
VT00098,2025-08-21,2025,Ago,Q3,Impresora Láser,Impresión,Cali,Colombia,Online,20,735000,0.25,14700000,11760000,20.0,4.9,0,0
VT00099,2024-08-12,2024,Ago,Q3,Auriculares BT,Audio,Barranquilla,Colombia,B2B,37,235000,0.06,8695000,5550000,36.2,4.1,0,1
VT00100,2024-01-16,2024,Ene,Q1,SSD 1TB,Almacenamiento,Lima,Perú,Distribuidores,48,346500,0.23,16632000,12960000,22.1,4.7,0,0
VT00101,2024-04-25,2024,Abr,Q2,"Monitor 24""",Monitores,Montevideo,Uruguay,Distribuidores,44,747600,0.16,32894400,23496000,28.6,4.4,0,0
VT00102,2025-05-24,2025,May,Q2,SSD 1TB,Almacenamiento,Medellín,Colombia,Online,24,445500,0.01,10692000,6480000,39.4,3.3,0,0
VT00103,2025-03-27,2025,Mar,Q1,Smartphone X,Smartphones,Cali,Colombia,Tienda Física,18,1827000,0.13,32886000,22680000,31.0,3.3,0,0
VT00104,2024-08-28,2024,Ago,Q3,Auriculares BT,Audio,Monterrey,México,Online,15,240000,0.04,3600000,2250000,37.5,4.4,0,0
VT00105,2024-07-15,2024,Jul,Q3,Impresora Láser,Impresión,Monterrey,México,Online,8,911400,0.07,7291200,4704000,35.5,3.7,0,1
VT00106,2024-11-18,2024,Nov,Q4,Smartphone X,Smartphones,Monterrey,México,Online,40,1848000,0.12,73920000,50400000,31.8,3.7,0,0
VT00107,2025-11-02,2025,Nov,Q4,SSD 1TB,Almacenamiento,Arequipa,Perú,Distribuidores,3,436500,0.03,1309500,810000,38.1,3.6,0,1
VT00108,2025-08-23,2025,Ago,Q3,Impresora Láser,Impresión,Cali,Colombia,B2B,48,813400,0.17,39043200,28224000,27.7,4.9,0,0
VT00109,2025-08-02,2025,Ago,Q3,Teclado Mecánico,Accesorios,Lima,Perú,Online,18,246400,0.23,4435200,3456000,22.1,4.4,0,0
VT00110,2025-11-12,2025,Nov,Q4,"Monitor 24""",Monitores,Monterrey,México,Online,42,765400,0.14,32146800,22428000,30.2,3.1,0,0
VT00111,2024-11-08,2024,Nov,Q4,Cámara HD,Fotografía,Medellín,Colombia,Tienda Física,22,1485000,0.01,32670000,19800000,39.4,5.0,0,1
VT00112,2024-04-26,2024,Abr,Q2,Impresora Láser,Impresión,Barranquilla,Colombia,Marketplace,10,901600,0.08,9016000,5880000,34.8,4.8,1,0
VT00113,2024-05-05,2024,May,Q2,Teclado Mecánico,Accesorios,Cali,Colombia,Marketplace,2,310400,0.03,620800,384000,38.1,3.0,0,1
VT00114,2024-05-17,2024,May,Q2,"Tablet 10""",Tablets,Bogotá,Colombia,Tienda Física,27,1164000,0.03,31428000,19440000,38.1,3.2,0,0
VT00115,2025-02-02,2025,Feb,Q1,"Tablet 10""",Tablets,Buenos Aires,Argentina,Marketplace,40,1044000,0.13,41760000,28800000,31.0,4.5,0,0
VT00116,2025-01-22,2025,Ene,Q1,Auriculares BT,Audio,Arequipa,Perú,Online,28,197500,0.21,5530000,4200000,24.1,3.2,0,0
VT00117,2024-03-21,2024,Mar,Q1,Mouse Inalámbrico,Accesorios,Monterrey,México,Marketplace,40,82450,0.03,3298000,2040000,38.1,4.2,0,0
VT00118,2025-08-04,2025,Ago,Q3,USB-C Hub,Accesorios,Buenos Aires,Argentina,Distribuidores,45,117600,0.02,5292000,3240000,38.8,4.7,0,0
VT00119,2024-08-13,2024,Ago,Q3,RAM 16GB,Componentes,Barranquilla,Colombia,B2B,30,342000,0.1,10260000,6840000,33.3,3.8,0,0
VT00120,2025-03-03,2025,Mar,Q1,SSD 1TB,Almacenamiento,México DF,México,Distribuidores,6,441000,0.02,2646000,1620000,38.8,3.9,0,0
VT00121,2025-10-12,2025,Oct,Q4,Teclado Mecánico,Accesorios,Buenos Aires,Argentina,Online,27,265600,0.17,7171200,5184000,27.7,4.7,0,0
VT00122,2025-10-17,2025,Oct,Q4,RAM 16GB,Componentes,Bogotá,Colombia,Distribuidores,37,345800,0.09,12794600,8436000,34.1,3.4,0,1
VT00123,2024-06-08,2024,Jun,Q2,Mouse Inalámbrico,Accesorios,Monterrey,México,Marketplace,37,68850,0.19,2547450,1887000,25.9,4.6,0,0
VT00124,2025-01-23,2025,Ene,Q1,USB-C Hub,Accesorios,Montevideo,Uruguay,Marketplace,18,118800,0.01,2138400,1296000,39.4,4.5,0,0
VT00125,2025-11-21,2025,Nov,Q4,Teclado Mecánico,Accesorios,Cali,Colombia,Marketplace,48,313600,0.02,15052800,9216000,38.8,4.9,0,0
VT00126,2024-06-11,2024,Jun,Q2,Smartphone X,Smartphones,Lima,Perú,B2B,47,1911000,0.09,89817000,59220000,34.1,4.6,0,1
VT00127,2024-10-15,2024,Oct,Q4,Laptop Pro,Computadores,Cali,Colombia,Tienda Física,18,2324000,0.17,41832000,30240000,27.7,4.3,0,0
VT00128,2025-02-22,2025,Feb,Q1,Auriculares BT,Audio,Barranquilla,Colombia,Marketplace,19,222500,0.11,4227500,2850000,32.6,4.4,0,0
VT00129,2024-10-07,2024,Oct,Q4,Laptop Pro,Computadores,Barranquilla,Colombia,B2B,20,2800000,0.0,56000000,33600000,40.0,4.5,0,1
VT00130,2025-12-18,2025,Dic,Q4,Mouse Inalámbrico,Accesorios,Bogotá,Colombia,B2B,25,81600,0.04,2040000,1275000,37.5,4.4,0,0
VT00131,2024-12-03,2024,Dic,Q4,"Tablet 10""",Tablets,Medellín,Colombia,B2B,30,1068000,0.11,32040000,21600000,32.6,4.7,0,0
VT00132,2025-02-06,2025,Feb,Q1,RAM 16GB,Componentes,Lima,Perú,Distribuidores,21,376200,0.01,7900200,4788000,39.4,4.6,0,0
VT00133,2024-02-17,2024,Feb,Q1,"Tablet 10""",Tablets,Medellín,Colombia,B2B,26,1068000,0.11,27768000,18720000,32.6,3.2,0,0
VT00134,2024-02-25,2024,Feb,Q1,"Monitor 24""",Monitores,Monterrey,México,Tienda Física,13,774300,0.13,10065900,6942000,31.0,3.7,0,0
VT00135,2025-03-05,2025,Mar,Q1,Teclado Mecánico,Accesorios,Barranquilla,Colombia,Online,39,304000,0.05,11856000,7488000,36.8,4.5,0,1
VT00136,2025-10-21,2025,Oct,Q4,SSD 1TB,Almacenamiento,Arequipa,Perú,B2B,37,373500,0.17,13819500,9990000,27.7,4.3,0,0
VT00137,2024-08-10,2024,Ago,Q3,SSD 1TB,Almacenamiento,Monterrey,México,Tienda Física,41,396000,0.12,16236000,11070000,31.8,4.6,0,0
VT00138,2024-08-03,2024,Ago,Q3,Mouse Inalámbrico,Accesorios,México DF,México,B2B,19,84150,0.01,1598850,969000,39.4,4.3,0,1
VT00139,2024-08-21,2024,Ago,Q3,USB-C Hub,Accesorios,Buenos Aires,Argentina,B2B,37,106800,0.11,3951600,2664000,32.6,3.4,0,0
VT00140,2024-06-02,2024,Jun,Q2,Laptop Pro,Computadores,Arequipa,Perú,Online,12,2436000,0.13,29232000,20160000,31.0,3.5,0,0
VT00141,2025-06-14,2025,Jun,Q2,Impresora Láser,Impresión,Montevideo,Uruguay,Tienda Física,25,754600,0.23,18865000,14700000,22.1,4.5,0,1
VT00142,2024-06-10,2024,Jun,Q2,SSD 1TB,Almacenamiento,Monterrey,México,Online,25,387000,0.14,9675000,6750000,30.2,3.5,0,0
VT00143,2024-02-21,2024,Feb,Q1,USB-C Hub,Accesorios,Cali,Colombia,Distribuidores,20,92400,0.23,1848000,1440000,22.1,4.4,0,0
VT00144,2025-07-23,2025,Jul,Q3,Mouse Inalámbrico,Accesorios,México DF,México,Marketplace,43,68000,0.2,2924000,2193000,25.0,4.7,0,0
VT00145,2025-09-06,2025,Sep,Q3,Impresora Láser,Impresión,Medellín,Colombia,B2B,20,980000,0.0,19600000,11760000,40.0,4.9,0,0
VT00146,2024-03-17,2024,Mar,Q1,"Monitor 24""",Monitores,Barranquilla,Colombia,Tienda Física,7,827700,0.07,5793900,3738000,35.5,4.5,0,0
VT00147,2025-03-27,2025,Mar,Q1,Laptop Pro,Computadores,Monterrey,México,Marketplace,12,2688000,0.04,32256000,20160000,37.5,4.4,0,0
VT00148,2025-07-15,2025,Jul,Q3,RAM 16GB,Componentes,Arequipa,Perú,Online,16,315400,0.17,5046400,3648000,27.7,4.2,0,0
VT00149,2025-05-12,2025,May,Q2,"Monitor 24""",Monitores,Buenos Aires,Argentina,Tienda Física,13,685300,0.23,8908900,6942000,22.1,4.4,0,0
VT00150,2025-09-26,2025,Sep,Q3,Auriculares BT,Audio,Lima,Perú,Marketplace,13,190000,0.24,2470000,1950000,21.1,4.2,0,1
VT00151,2024-02-06,2024,Feb,Q1,Cámara HD,Fotografía,Monterrey,México,Marketplace,49,1395000,0.07,68355000,44100000,35.5,3.5,0,1
VT00152,2025-08-02,2025,Ago,Q3,Smartphone X,Smartphones,Medellín,Colombia,Tienda Física,27,1617000,0.23,43659000,34020000,22.1,3.8,0,0
VT00153,2025-01-21,2025,Ene,Q1,Mouse Inalámbrico,Accesorios,Monterrey,México,Tienda Física,46,65450,0.23,3010700,2346000,22.1,3.7,0,1
VT00154,2024-08-09,2024,Ago,Q3,Cámara HD,Fotografía,Cali,Colombia,B2B,2,1155000,0.23,2310000,1800000,22.1,3.4,0,0
VT00155,2025-02-02,2025,Feb,Q1,USB-C Hub,Accesorios,Buenos Aires,Argentina,B2B,8,112800,0.06,902400,576000,36.2,3.5,0,0
VT00156,2024-10-08,2024,Oct,Q4,Mouse Inalámbrico,Accesorios,Medellín,Colombia,B2B,37,71400,0.16,2641800,1887000,28.6,4.4,0,1
VT00157,2024-07-17,2024,Jul,Q3,"Tablet 10""",Tablets,Barranquilla,Colombia,Marketplace,6,996000,0.17,5976000,4320000,27.7,4.9,0,0
VT00158,2025-01-21,2025,Ene,Q1,Impresora Láser,Impresión,Buenos Aires,Argentina,Marketplace,3,764400,0.22,2293200,1764000,23.1,3.8,0,0
VT00159,2024-04-25,2024,Abr,Q2,"Tablet 10""",Tablets,Medellín,Colombia,Distribuidores,48,972000,0.19,46656000,34560000,25.9,3.7,1,0
VT00160,2025-12-03,2025,Dic,Q4,SSD 1TB,Almacenamiento,Cali,Colombia,B2B,9,378000,0.16,3402000,2430000,28.6,4.4,0,1
VT00161,2025-01-13,2025,Ene,Q1,"Monitor 24""",Monitores,Bogotá,Colombia,Tienda Física,33,685300,0.23,22614900,17622000,22.1,5.0,0,1
VT00162,2024-06-09,2024,Jun,Q2,SSD 1TB,Almacenamiento,Barranquilla,Colombia,Distribuidores,22,351000,0.22,7722000,5940000,23.1,3.2,0,0
VT00163,2024-06-12,2024,Jun,Q2,RAM 16GB,Componentes,Arequipa,Perú,B2B,32,334400,0.12,10700800,7296000,31.8,4.8,0,0
VT00164,2024-07-04,2024,Jul,Q3,RAM 16GB,Componentes,Lima,Perú,Online,21,326800,0.14,6862800,4788000,30.2,3.2,0,0
VT00165,2025-12-24,2025,Dic,Q4,USB-C Hub,Accesorios,Lima,Perú,Tienda Física,3,109200,0.09,327600,216000,34.1,4.7,0,0
VT00166,2025-11-22,2025,Nov,Q4,Auriculares BT,Audio,Bogotá,Colombia,Online,48,227500,0.09,10920000,7200000,34.1,3.3,1,0
VT00167,2024-03-12,2024,Mar,Q1,SSD 1TB,Almacenamiento,Arequipa,Perú,Online,42,423000,0.06,17766000,11340000,36.2,3.7,0,1
VT00168,2025-06-05,2025,Jun,Q2,Teclado Mecánico,Accesorios,Arequipa,Perú,Distribuidores,37,259200,0.19,9590400,7104000,25.9,4.1,0,0
VT00169,2024-12-18,2024,Dic,Q4,"Monitor 24""",Monitores,Medellín,Colombia,Online,25,783200,0.12,19580000,13350000,31.8,3.2,0,0
